Ue,Ve,Uf,Vf
0.011,0.0081,0.0022,0.0057
0.18029929990505275,0.010531547498592125,0.17076001148120415,0.00796453180838887
0.25868865226181903,0.0158206443825404,0.24832374868837082,0.013071438271629352
0.2933653228859556,0.022307288815097956,0.2820753685299329,0.01935880257816215
0.3071217922904352,0.02919901878374848,0.2947919795325123,0.02603194408062573
0.31096449977429125,0.03612208852524336,0.297461976389317,0.03271454140774998
0.3102086501280344,0.04290472996860207,0.2953793618659104,0.039231830892301804
0.30742209050432884,0.049472510063208276,0.29108704971452165,0.04550588939604781
0.30384733206490006,0.055797833214001606,0.2857982067420546,0.05150504863782059
0.30008861616003285,0.061875597564707986,0.2800825142748646,0.05721944725843305
0.29644400493589196,0.06771148980595701,0.2741973057956108,0.06264920232903265
0.2930661087179086,0.07331638905206213,0.26824716570335577,0.06779866732728693
0.29004009552084586,0.07870372907260079,0.26226060204658985,0.07267362169290209
0.2874218285043726,0.0838882979015886,0.2562266006859612,0.07727986605821764
0.28525682626702836,0.08888574245219517,0.25011170989545833,0.08162248488898981
0.28359007251706947,0.0937124261487652,0.2438676255712524,0.08570541730737329
0.2824715107118208,0.09838547172737085,0.23743406120608399,0.0895311616491965
0.28195963836114685,0.1029229124048873,0.23073920990970853,0.09310052314940562
0.2821242930112546,0.10734391519041488,0.2236988545106251,0.0964123639317746
0.28304930933286243,0.11166906527134236,0.2162146504253561,0.09946332434661746
0.28483532392105354,0.11592071306553062,0.20817171777261892,0.10224749925849433
0.28760291359353474,0.12012337837210492,0.19943571189696624,0.10475606161642474
0.29149635854796363,0.12430424592044503,0.18984913192988642,0.10697679925105881
0.2966878548026524,0.12849372234131184,0.17922711107121528,0.10889358891041259
0.3033826905967538,0.1327261147374337,0.16735227294358412,0.11048574809793346
0.31182527167315566,0.13704042342442332,0.1539686621592935,0.11172727321884668
0.3223062888966409,0.14148127803520905,0.13877456547163497,0.1125859319488472
0.3351712140388609,0.14610004374853458,0.1214140019520744,0.11302218429389896
0.35083034671087093,0.15095612827730778,0.10146663497021628,0.11298790262049399
0.36977075129149534,0.1561185273654237,0.07843583753105242,0.11242485045043446
0.39257038255902205,0.16166765439412228,0.05173452406915294,0.11126287761628649
0.41991484106894816,0.1676975041061264,0.020668388558729472,0.10941777894648809
0.45108627234519716,0.17431296968080554,-0.015488003737247687,0.10686767816422837
0.47407273619116436,0.18145246634084047,-0.0544289458179305,0.10422910578898498
0.4879368206062872,0.18886580311163764,-0.09130564111927927,0.10165567999785392
0.4946071337752444,0.1963456192451989,-0.12303185613160801,0.09914579231588956
0.49568592295569947,0.2037331401177168,-0.1479792613594293,0.0966978739815873
0.4924969504332724,0.21090952757595569,-0.16552196013529372,0.09431039496630857
0.48612718357938356,0.2177885455414633,-0.1757012503487874,0.09198186301794761
0.47746297397323906,0.22431036840768706,-0.17898190480618942,0.08971082272823638
0.4672213705390042,0.23043637328736968,-0.17607714442939104,0.0874958546230653
0.45597713643840276,0.2361447795105602,-0.16782516327277866,0.08533557427526539
0.44418598620372535,0.24142701508914796,-0.15510404340828862,0.0832286314392961
0.4322045083354491,0.24628470470358924,-0.13877499658058617,0.08117370920729836
0.4203071911293135,0.25072718700114655,-0.11964626558093759,0.07916952318598387
0.40870092188665136,0.2547694816771935,-0.09845197812173521,0.07721482069384702
0.39753728991943665,0.2584306369944421,-0.0758415646228962,0.07530837997819943
0.38692298826439964,0.26173239748251304,-0.052376502085479636,0.07344900945153396
0.3769285712442501,0.26469814056510654,-0.028531995233853264,0.07163554694674377
